game_id,tournament_id,round,game_date,school_a_id,school_b_id,school_a_name,school_b_name,score_a,score_b,result,source_url
G26SP001,SP2026,1回戦,2026-03-19,S26SP009,S26SP030,帝京,沖縄尚学,4,3,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260319.html
G26SP002,SP2026,1回戦,2026-03-19,S26SP025,S26SP013,阿南光,中京大中京,1,3,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260319.html
G26SP003,SP2026,1回戦,2026-03-19,S26SP002,S26SP022,八戸学院光星,崇徳,15,6,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260319.html
G26SP004,SP2026,1回戦,2026-03-20,S26SP017,S26SP031,滋賀学園,長崎西,5,4,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP005,SP2026,1回戦,2026-03-20,S26SP010,S26SP029,横浜,神村学園,0,2,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP006,SP2026,1回戦,2026-03-20,S26SP003,S26SP018,花巻東,智辯学園,0,4,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260320.html
G26SP007,SP2026,1回戦,2026-03-21,S26SP021,S26SP006,東洋大姫路,花咲徳栄,2,3,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP008,SP2026,1回戦,2026-03-21,S26SP032,S26SP012,高知農,日本文理,1,8,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP009,SP2026,1回戦,2026-03-21,S26SP001,S26SP008,北照,専大松戸,0,4,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260321.html
G26SP010,SP2026,1回戦,2026-03-22,S26SP020,S26SP026,神戸国際大付,九州国際大付,3,4,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260322.html
G26SP011,SP2026,1回戦,2026-03-22,S26SP016,S26SP014,近江,大垣日大,1,2,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260322.html
G26SP012,SP2026,1回戦,2026-03-22,S26SP007,S26SP027,山梨学院,長崎日大,5,3,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260322.html
G26SP013,SP2026,1回戦,2026-03-23,S26SP004,S26SP011,東北,帝京長岡,5,1,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260323.html
G26SP014,SP2026,1回戦,2026-03-23,S26SP023,S26SP024,高川学園,英明,3,5,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260323.html
G26SP015,SP2026,1回戦,2026-03-23,S26SP015,S26SP005,三重,佐野日大,2,0,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260323.html
G26SP016,SP2026,1回戦,2026-03-24,S26SP028,S26SP019,熊本工,大阪桐蔭,0,4,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260324.html
G26SP017,SP2026,2回戦,2026-03-24,S26SP009,S26SP013,帝京,中京大中京,4,9,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260324.html
G26SP018,SP2026,2回戦,2026-03-24,S26SP002,S26SP017,八戸学院光星,滋賀学園,5,4,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260324.html
G26SP019,SP2026,2回戦,2026-03-25,S26SP029,S26SP018,神村学園,智辯学園,1,2,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260325.html
G26SP020,SP2026,2回戦,2026-03-25,S26SP006,S26SP012,花咲徳栄,日本文理,17,0,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260325.html
G26SP021,SP2026,2回戦,2026-03-26,S26SP008,S26SP026,専大松戸,九州国際大付,8,3,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260326.html
G26SP022,SP2026,2回戦,2026-03-26,S26SP014,S26SP007,大垣日大,山梨学院,1,3,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260326.html
G26SP023,SP2026,2回戦,2026-03-26,S26SP004,S26SP024,東北,英明,3,6,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260326.html
G26SP024,SP2026,2回戦,2026-03-26,S26SP015,S26SP019,三重,大阪桐蔭,5,6,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260326.html
G26SP025,SP2026,準々決勝,2026-03-27,S26SP013,S26SP002,中京大中京,八戸学院光星,2,1,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260327.html
G26SP026,SP2026,準々決勝,2026-03-27,S26SP018,S26SP006,智辯学園,花咲徳栄,12,8,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260327.html
G26SP027,SP2026,準々決勝,2026-03-27,S26SP008,S26SP007,専大松戸,山梨学院,2,1,A_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260327.html
G26SP028,SP2026,準々決勝,2026-03-27,S26SP024,S26SP019,英明,大阪桐蔭,3,4,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260327.html
G26SP029,SP2026,準決勝,2026-03-29,S26SP013,S26SP018,中京大中京,智辯学園,1,2,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260329.html
G26SP030,SP2026,準決勝,2026-03-29,S26SP008,S26SP019,専大松戸,大阪桐蔭,2,3,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260329.html
G26SP031,SP2026,決勝,2026-03-31,S26SP018,S26SP019,智辯学園,大阪桐蔭,3,7,B_WIN,https://www.jhbf.or.jp/senbatsu/2026/schedule/schedule_20260331.html
