school_id,school_name,games,wins,losses,win_pct,runs_for,runs_against,run_diff
S26SP019,大阪桐蔭,5,5,0,1.0,24,13,11
S26SP018,智辯学園,5,4,1,0.8,23,17,6
S26SP008,専大松戸,4,3,1,0.75,16,7,9
S26SP013,中京大中京,4,3,1,0.75,15,8,7
S26SP006,花咲徳栄,3,2,1,0.6667,28,14,14
S26SP002,八戸学院光星,3,2,1,0.6667,21,12,9
S26SP024,英明,3,2,1,0.6667,14,10,4
S26SP007,山梨学院,3,2,1,0.6667,9,6,3
S26SP029,神村学園,2,1,1,0.5,3,2,1
S26SP004,東北,2,1,1,0.5,8,7,1
S26SP015,三重,2,1,1,0.5,7,6,1
S26SP017,滋賀学園,2,1,1,0.5,9,9,0
S26SP014,大垣日大,2,1,1,0.5,3,4,-1
S26SP009,帝京,2,1,1,0.5,8,12,-4
S26SP026,九州国際大付,2,1,1,0.5,7,11,-4
S26SP012,日本文理,2,1,1,0.5,8,18,-10
S26SP030,沖縄尚学,1,0,1,0.0,3,4,-1
S26SP031,長崎西,1,0,1,0.0,4,5,-1
S26SP021,東洋大姫路,1,0,1,0.0,2,3,-1
S26SP020,神戸国際大付,1,0,1,0.0,3,4,-1
S26SP016,近江,1,0,1,0.0,1,2,-1
S26SP025,阿南光,1,0,1,0.0,1,3,-2
S26SP010,横浜,1,0,1,0.0,0,2,-2
S26SP027,長崎日大,1,0,1,0.0,3,5,-2
S26SP023,高川学園,1,0,1,0.0,3,5,-2
S26SP005,佐野日大,1,0,1,0.0,0,2,-2
S26SP003,花巻東,1,0,1,0.0,0,4,-4
S26SP001,北照,1,0,1,0.0,0,4,-4
S26SP011,帝京長岡,1,0,1,0.0,1,5,-4
S26SP028,熊本工,1,0,1,0.0,0,4,-4
S26SP032,高知農,1,0,1,0.0,1,8,-7
S26SP022,崇徳,1,0,1,0.0,6,15,-9
